country,HDI,GII,MMR,ABR,PRf,SEf,SEm,LFPRf,LFPRm
Norway,0.944,0.068,7,7.8,39.6,97.4,96.7,61.5,69.5
Australia,0.933,0.113,7,12.1,29.2,94.3,94.6,58.8,71.9
Switzerland,0.917,0.030,8,1.9,27.2,95.0,96.6,61.2,75.3
Netherlands,0.915,0.057,6,6.2,37.8,87.7,90.5,79.9,87.3
United States,0.914,0.262,21,31.0,18.2,95.1,94.8,56.8,69.3
Germany,0.911,0.046,7,3.8,32.4,96.3,97.0,53.5,66.4
New Zealand,0.910,0.185,15,25.3,32.2,95.0,95.3,62.1,73.9
Canada,0.902,0.136,12,14.5,28.0,100.0,100.0,61.6,71.2
Singapore,0.901,0.090,3,6.0,24.2,74.1,81.0,59.0,77.5
Denmark,0.900,0.056,12,5.1,39.1,95.5,96.6,59.1,67.5
Ireland,0.899,0.115,6,8.2,19.5,80.5,78.6,52.7,67.9
Sweden,0.898,0.054,4,6.5,44.7,86.5,87.3,60.2,68.1
Iceland,0.895,0.088,5,11.5,39.7,91.0,91.6,70.6,77.3
United Kingdom,0.892,0.193,12,25.8,22.6,99.8,99.9,55.7,68.8
"Hong Kong, China (SAR)",0.891,NA,NA,3.3,NA,72.2,79.2,51.6,68.0
Korea (Republic of),0.891,0.101,16,2.2,15.7,77.0,89.1,49.9,72.0
Japan,0.890,0.138,5,5.4,10.8,87.0,85.8,48.1,70.4
Liechtenstein,0.889,NA,NA,NA,20.0,NA,NA,NA,NA
Israel,0.888,0.101,7,7.8,22.5,84.4,87.3,58.1,69.5
France,0.884,0.080,8,5.7,25.1,78.0,83.2,50.9,61.8
Austria,0.881,0.056,4,4.1,28.7,100.0,100.0,54.6,67.7
Belgium,0.881,0.068,8,6.7,38.9,77.5,82.9,46.9,59.4
Luxembourg,0.881,0.154,20,8.3,21.7,100.0,100.0,50.7,64.9
Finland,0.879,0.075,5,9.2,42.5,100.0,100.0,56.0,64.3
Slovenia,0.874,0.021,12,0.6,24.6,95.8,98.0,52.3,63.5
Italy,0.872,0.067,4,4.0,30.6,71.2,80.5,39.4,59.4
Spain,0.869,0.100,6,10.6,35.2,66.8,73.1,52.6,66.5
Czech Republic,0.861,0.087,5,4.9,20.6,99.9,99.7,50.1,67.8
Greece,0.853,0.146,3,11.9,21.0,59.5,67.0,44.2,62.6
Brunei Darussalam,0.852,NA,24,23.0,NA,66.6,61.2,52.9,75.6
Qatar,0.851,0.524,7,9.5,0.1,66.7,59.0,50.8,95.6
Cyprus,0.845,0.136,10,5.5,10.7,72.2,79.6,55.8,70.8
Estonia,0.840,0.154,2,16.8,20.8,100.0,100.0,56.0,68.7
Saudi Arabia,0.836,0.321,24,10.2,19.9,60.5,70.3,18.2,75.5
Lithuania,0.834,0.116,8,10.6,24.1,89.1,94.3,55.8,66.3
Poland,0.834,0.139,5,12.2,21.8,79.4,85.5,48.9,64.8
Andorra,0.830,NA,NA,NA,50.0,49.5,49.3,NA,NA
Slovakia,0.830,0.164,6,15.9,18.7,99.1,99.5,51.0,68.7
Malta,0.829,0.220,8,18.2,14.3,68.6,78.2,38.0,66.5
United Arab Emirates,0.827,0.244,12,27.6,17.5,73.1,61.3,46.6,91.0
Chile,0.822,0.355,25,55.3,13.9,73.3,76.4,49.0,74.6
Portugal,0.822,0.116,8,12.6,28.7,47.7,48.2,55.4,67.2
Hungary,0.818,0.247,21,12.1,8.8,97.9,98.7,44.7,59.9
Bahrain,0.815,0.253,20,13.8,18.8,74.4,80.4,39.4,87.2
Cuba,0.815,0.350,73,43.1,48.9,73.9,80.4,43.3,70.1
Kuwait,0.814,0.288,14,14.5,6.2,55.6,56.3,43.4,82.8
Croatia,0.812,0.172,17,12.7,23.8,85.0,93.6,44.8,58.5
Latvia,0.810,0.222,34,13.5,23.0,98.9,99.0,54.5,67.1
Argentina,0.808,0.381,77,54.4,37.7,57.0,54.9,47.3,75.0
Uruguay,0.790,0.364,29,58.3,12.3,54.4,50.3,55.5,76.8
Bahamas,0.789,0.316,47,28.5,16.7,91.2,87.6,69.3,79.3
Montenegro,0.789,NA,8,15.2,17.3,84.2,94.7,NA,NA
Belarus,0.786,0.152,4,20.6,29.5,87.0,92.2,49.9,62.7
Romania,0.785,0.320,27,31.0,11.6,86.1,92.0,48.5,64.7
Libya,0.784,0.215,58,2.5,16.5,55.6,44.0,30.0,76.4
Oman,0.783,0.348,32,10.6,9.6,47.2,57.1,28.6,81.8
Russian Federation,0.778,0.314,34,25.7,12.1,89.6,92.5,57.0,71.4
Bulgaria,0.777,0.207,11,35.9,24.6,93.0,95.7,47.8,58.8
Barbados,0.776,0.350,51,48.4,21.6,89.5,87.6,65.9,76.7
Palau,0.775,NA,NA,NA,10.3,NA,NA,NA,NA
Antigua and Barbuda,0.774,NA,NA,49.3,19.4,NA,NA,NA,NA
Malaysia,0.773,0.210,29,5.7,13.9,66.0,72.8,44.3,75.3
Mauritius,0.771,0.375,60,30.9,18.8,49.4,58.0,43.5,74.3
Trinidad and Tobago,0.766,0.321,46,34.8,26.0,59.4,59.2,52.9,75.5
Lebanon,0.765,0.413,25,12.0,3.1,38.8,38.9,22.8,70.5
Panama,0.765,0.506,92,78.5,8.5,63.5,60.7,49.0,81.9
Venezuela (Bolivarian Republic of),0.764,0.464,92,83.2,17.0,56.5,50.8,50.9,79.2
Costa Rica,0.763,0.344,40,60.8,38.6,54.5,52.8,46.4,79.0
Turkey,0.759,0.360,20,30.9,14.2,39.0,60.0,29.4,70.8
Kazakhstan,0.757,0.323,51,29.9,18.2,99.3,99.4,67.5,77.5
